tap,beer,style,abv,description,image_url,untappd_url,cans
1,Howzit Dunkel,Dunkel,5.3,A German style dunkel brewed for our Oktoberfest,https://assets.untappd.com/site/beer_logos/beer-6844082_119e8_sm.jpeg,https://untappd.com/b/howzit-brewing-howzit-dunkel/6844082,TRUE
2,Fully Kitted,German Pilsner,5%,German style pilsner,https://assets.untappd.com/site/beer_logos/beer-6802244_b7423_sm.jpeg,https://untappd.com/b/howzit-brewing-fully-kitted/6802244,TRUE
3,Kalapaweizen,Hefeweizen,4.8,German style wheat beer,https://assets.untappd.com/site/beer_logos/beer-6833723_c1006_sm.jpeg,https://untappd.com/b/howzit-brewing-kalapaweizen/6833723,TRUE
4,Local Legend,Hazy IPA,6.4,Our flagship hazy IPA,https://assets.untappd.com/site/beer_logos/beer-5660501_bfc89_sm.jpeg,https://untappd.com/b/howzit-brewing-local-legend/5660501,TRUE
5,Howzit Light,American Light Lager,4,A craft American light lager,https://assets.untappd.com/site/beer_logos/beer-6356313_fb024_sm.jpeg,https://untappd.com/b/howzit-brewing-howzit-light/6356313,TRUE
6,Space Ghost,Cold IPA,6.4,"IPA fermented warm with Andechs yeast and hopped with Strata, Nelson and Nelson CGX",https://assets.untappd.com/site/beer_logos/beer-6834447_d2748_sm.jpeg,https://untappd.com/b/howzit-brewing-space-ghost/6834447,FALSE
7,Hawaiian Time,West Coast IPA,6.9,West Coast IPA with a rotating hop bill,https://assets.untappd.com/site/beer_logos/beer-6400536_0d04e_sm.jpeg,https://untappd.com/b/howzit-brewing-hawaiian-time/6400536,TRUE
8,imiloa v5,Hazy IPA,6.5,An exploratory hazy IPA series,https://assets.untappd.com/site/beer_logos_hd/beer-6794364_604ff_hd.jpeg,https://untappd.com/b/howzit-brewing-imiloa-v-5/6794364,TRUE
9,Coconut Pirates,West Coast IPA 'dry hopped' with toasted coconut,6.2,West Coast IPA brewed and dry hopped with Sabro hops then 'dry hopped' with toasted coconut,https://assets.untappd.com/site/beer_logos_hd/beer-6850753_78b57_hd.jpeg,https://untappd.com/b/howzit-brewing-coconut-pirates/6850753,TRUE
10,P.O.S.,Hard Seltzer,4.5,Hard seltzer with pineapple and blood orange,https://assets.untappd.com/site/beer_logos_hd/beer-6739388_64648_hd.jpeg,https://untappd.com/b/howzit-brewing-pineapple-blood-orange-hard-seltzer/6739388,TRUE
